artist_name,instagram_input,instagram_handle,instagram_url,instagram_followers,facebook_input,facebook_handle,facebook_url,facebook_followers,twitter_input,twitter_handle,twitter_url,twitter_followers
Scott Perry ,https://www.instagram.com/thestoicguitarist/,thestoicguitarist,http://www.instagram.com/thestoicguitarist,404 Not Found,https://www.facebook.com/ScottPerryMusicianandTeacher/,ScottPerryMusicianandTeacher,http://www.facebook.com/ScottPerryMusicianandTeacher,404 Not Found,@stoicguitar,stoicguitar,http://www.twitter.com/stoicguitar,404 Not Found
John Fister,,"","",,www.facebook.com/thejohnfister,thejohnfister,http://www.facebook.com/thejohnfister,550,,"","",
Tom Schreck,www.instagram.com/nashvilleoutsider,nashvilleoutsider,http://www.instagram.com/nashvilleoutsider,132,www.facebook.com/nashvilleoutsider,nashvilleoutsider,http://www.facebook.com/nashvilleoutsider,334,@nashvilleoutsider,nashvilleoutsider,http://www.twitter.com/nashvilleoutsider,404 Not Found
The Magnumb Opus,www.instagram.com/magnumbOpus/,magnumbOpus,http://www.instagram.com/magnumbOpus,108,www.facebook.com/magnumbopus,magnumbopus,http://www.facebook.com/magnumbopus,523,@themagnumbopus,themagnumbopus,http://www.twitter.com/themagnumbopus,68
LevRAGE,,"","",,https://www.facebook.com/levrage/,levrage,http://www.facebook.com/levrage,10286,https://twitter.com/levrage,levrage,http://www.twitter.com/levrage,0
Kat Quinn,www.instagram.com/katquinnmusic,katquinnmusic,http://www.instagram.com/katquinnmusic,1940,www.facebook.com/katquinnmusic,katquinnmusic,http://www.facebook.com/katquinnmusic,1209,@katquinnmusic,katquinnmusic,http://www.twitter.com/katquinnmusic,2
The Steepwater Band ,http://instagram.com/thesteepwaterband,thesteepwaterband,http://www.instagram.com/thesteepwaterband,2837,https://facebook.com/thesteepwaterband/,thesteepwaterband,http://www.facebook.com/thesteepwaterband,17349,@steepwaterband ,"","",
James Neary and the Bevy Blue,https://www.instagram.com/jamesnearyandthebevyblue/,jamesnearyandthebevyblue,http://www.instagram.com/jamesnearyandthebevyblue,JSON failed to parse,https://www.facebook.com/jamesnearyandthebevyblue/,jamesnearyandthebevyblue,http://www.facebook.com/jamesnearyandthebevyblue,1197,,"","",
The Saturday Giant,http://instagram.com/saturdaygiant,saturdaygiant,http://www.instagram.com/saturdaygiant,1139,https://www.facebook.com/thesaturdaygiant,thesaturdaygiant,http://www.facebook.com/thesaturdaygiant,2459,@saturdaygiant,saturdaygiant,http://www.twitter.com/saturdaygiant,534
The Kat & Josh,www.instagram.com/thekatandjosh,thekatandjosh,http://www.instagram.com/thekatandjosh,150,www.facebook.com/thekatandjosh,thekatandjosh,http://www.facebook.com/thekatandjosh,210,@thekatandjosh,thekatandjosh,http://www.twitter.com/thekatandjosh,228
Frances Luke Accord,https://www.instagram.com/franceslukeaccord/,franceslukeaccord,http://www.instagram.com/franceslukeaccord,1754,https://www.facebook.com/franceslukeaccord,franceslukeaccord,http://www.facebook.com/franceslukeaccord,2659,https://twitter.com/FrancesLukeAcc,FrancesLukeAcc,http://www.twitter.com/FrancesLukeAcc,584
Chaz Hearne,https://www.instagram.com/thisisntchaz/,thisisntchaz,http://www.instagram.com/thisisntchaz,333,https://www.facebook.com/chazhearnemusic/,chazhearnemusic,http://www.facebook.com/chazhearnemusic,634,@chazhearne,chazhearne,http://www.twitter.com/chazhearne,187
Liz and the Lovelies,www.instagram.com/lizchids,lizchids,http://www.instagram.com/lizchids,404 Not Found,www.facebook.com/lizchids,lizchids,http://www.facebook.com/lizchids,No elements matched,@lizchids,lizchids,http://www.twitter.com/lizchids,404 Not Found
Superlove Highway,,"","",,https://www.facebook.com/Superlove-Highway-224320997700891/,Superlove-Highway-224320997700891,http://www.facebook.com/Superlove-Highway-224320997700891,769,,"","",
Young Cub,https://www.instagram.com/youngcubmusic/,youngcubmusic,http://www.instagram.com/youngcubmusic,188,https://www.facebook.com/YoungCubMusic/,YoungCubMusic,http://www.facebook.com/YoungCubMusic,606,@youngcubmusic,youngcubmusic,http://www.twitter.com/youngcubmusic,90
Mike Vial,www.instagram.com/mikevial,mikevial,http://www.instagram.com/mikevial,864,www.facebook.com/mikevialmusic,mikevialmusic,http://www.facebook.com/mikevialmusic,1929,@mikevial,mikevial,http://www.twitter.com/mikevial,1
Matthew Scharpf,www.instagram.com/matthew.scharpf/,matthew.scharpf,http://www.instagram.com/matthew.scharpf,270,www.facebook/matthewscharpf,matthewscharpf,http://www.facebook.com/matthewscharpf,No elements matched,@matthewscharpf,matthewscharpf,http://www.twitter.com/matthewscharpf,277
Pat McKillen,,"","",,https://www.facebook.com/patmckillenmusic/,patmckillenmusic,http://www.facebook.com/patmckillenmusic,1683,@mckillenmusic,mckillenmusic,http://www.twitter.com/mckillenmusic,689
Redeye Revolver,,"","",,https://www.facebook.com/pg/redeyerevolver,redeyerevolver,http://www.facebook.com/redeyerevolver,276,,"","",
Bajawalla,,"","",,,"","",,,"","",
Mutts,,"","",,https://www.facebook.com/wearemutts/,wearemutts,http://www.facebook.com/wearemutts,5842,,"","",
Skidaway,,"","",,,"","",,,"","",
Craver,,"","",,https://www.facebook.com/craver.org/,craver.org,http://www.facebook.com/craver.org,44,,"","",
Landry,,"","",,www.facebook.com/landrylemystique,landrylemystique,http://www.facebook.com/landrylemystique,No elements matched,,"","",
Haberdasher,,"","",,https://www.facebook.com/haberdasherband/,haberdasherband,http://www.facebook.com/haberdasherband,453,,"","",
Jia Senghe,Jia Senghe,"","",,,"","",,,"","",
Mr. Pope,www.instagram.com/mrpopechicago,mrpopechicago,http://www.instagram.com/mrpopechicago,404 Not Found,www.facebook.com/mrpopechicago,mrpopechicago,http://www.facebook.com/mrpopechicago,175,@mrpopechicago,mrpopechicago,http://www.twitter.com/mrpopechicago,404 Not Found
Steve Guidus,,"","",,,"","",,,"","",
Jae Haze ,https://www.instagram.com/therealjaehaze/,therealjaehaze,http://www.instagram.com/therealjaehaze,4550,https://www.facebook.com/jeremy.j.kinsey,jeremy.j.kinsey,http://www.facebook.com/jeremy.j.kinsey,No elements matched,,"","",
Jordan Avery,www.instagram.com/jordanaavery,jordanaavery,http://www.instagram.com/jordanaavery,2181,,"","",,,"","",
Jayblack,www.instagram.com/jayblack36,jayblack36,http://www.instagram.com/jayblack36,2956,http://www.facebook.com/jayblack,jayblack,http://www.facebook.com/jayblack,No elements matched,@jayblack354,jayblack354,http://www.twitter.com/jayblack354,581
Dreamah Jay,www.instagram.com/dreamahjay_03,dreamahjay_03,http://www.instagram.com/dreamahjay_03,256,www.facebook.com/dreamahjay,dreamahjay,http://www.facebook.com/dreamahjay,No elements matched,DreamahJay03,DreamahJay03,http://www.twitter.com/DreamahJay03,90
TFT,https://www.instagram.com/iceytonytft/,iceytonytft,http://www.instagram.com/iceytonytft,86,https://www.facebook.com/IceyTony-TFT-704692142934816/?ref=hl,?ref=hl,http://www.facebook.com/?ref=hl,No elements matched,https://twitter.com/IceyTonyTFT,IceyTonyTFT,http://www.twitter.com/IceyTonyTFT,8
BLKNUSS,,"","",,Dave Wilks,"","",,dawi opara@pharoh poet,"","",
TonyBeenChi,www.instagram.com/tonybeenchi,tonybeenchi,http://www.instagram.com/tonybeenchi,97,www.facebook.com/tonybeenchi,tonybeenchi,http://www.facebook.com/tonybeenchi,16,@tonybeenchi,tonybeenchi,http://www.twitter.com/tonybeenchi,69
Da1,Da1theOriginal,Da1theOriginal,http://www.instagram.com/Da1theOriginal,353,https://www.facebook.com/da1music/,da1music,http://www.facebook.com/da1music,5,Da1youHate,Da1youHate,http://www.twitter.com/Da1youHate,0
