artist,songs_uploaded,plays,website,facebook,instagram,youtube,twitter
Scott Perry ,3,737,https://scottperrymusician.mykajabi.com,https://www.facebook.com/ScottPerryMusicianandTeacher/,https://www.instagram.com/thestoicguitarist/,https://www.instagram.com/thestoicguitarist/,@stoicguitar
John Fister,7,1928,johnfistermusic.com,www.facebook.com/thejohnfister,,,
Tom Schreck,5,1267,,www.facebook.com/nashvilleoutsider,www.instagram.com/nashvilleoutsider,www.youtube.com/eltedioso,@nashvilleoutsider
The Magnumb Opus,9,859,www.magnumbopus.com,www.facebook.com/magnumbopus,www.instagram.com/magnumbOpus/,/TheMagnumbopus,@themagnumbopus
LevRAGE,2,346,www.levrage.com,https://www.facebook.com/levrage/,,https://www.youtube.com/watch?v=Wj5gghRSYno,https://twitter.com/levrage
Kat Quinn,6,1307,www.katquinnmusic.com,www.facebook.com/katquinnmusic,www.instagram.com/katquinnmusic,www.youtube.com/katquinnmusic,@katquinnmusic
The Steepwater Band ,4,612,www.steepwater.com,https://facebook.com/thesteepwaterband/,http://instagram.com/thesteepwaterband,https://www.youtube.com/user/TSBvideo,@steepwaterband 
James Neary and the Bevy Blue,2,509,https://www.jamesnearyandthebevyblue.com/,https://www.facebook.com/jamesnearyandthebevyblue/,https://www.instagram.com/jamesnearyandthebevyblue/,,
The Saturday Giant,33,824,www.thesaturdaygiant.com,https://www.facebook.com/thesaturdaygiant,http://instagram.com/saturdaygiant,http://www.youtube.com/thesaturdaygiant,@saturdaygiant
The Kat & Josh,1,188,http://singenginerecords.com/the_kat__josh/,www.facebook.com/thekatandjosh,www.instagram.com/thekatandjosh,www.youtube.com/thekatandjosh,@thekatandjosh
Frances Luke Accord,15,2758,http://franceslukeaccord.com,https://www.facebook.com/franceslukeaccord,https://www.instagram.com/franceslukeaccord/,https://www.youtube.com/user/franceslukeaccord,https://twitter.com/FrancesLukeAcc
Chaz Hearne,9,1395,http://www.chazhearne.com/,https://www.facebook.com/chazhearnemusic/,https://www.instagram.com/thisisntchaz/,https://www.youtube.com/user/ChazHearne,@chazhearne
Liz and the Lovelies,5,986,www.lizchidester.com,www.facebook.com/lizchids,www.instagram.com/lizchids,www.youtube.com/lizchids,@lizchids
Superlove Highway,5,642,http://superlovehighway.com/,https://www.facebook.com/Superlove-Highway-224320997700891/,,,
Young Cub,8,1468,www.youngcubmusic.com/,https://www.facebook.com/YoungCubMusic/,https://www.instagram.com/youngcubmusic/,https://www.youtube.com/channel/UCH9w4YD3892CWgBxZ7GRtAQ,@youngcubmusic
Mike Vial,2,521,www.mikevial.com,www.facebook.com/mikevialmusic,www.instagram.com/mikevial,www.youtube.com/mikevialmusic,@mikevial
Matthew Scharpf,2,57,www.matthewscharpf.com,www.facebook/matthewscharpf,www.instagram.com/matthew.scharpf/,,@matthewscharpf
